id,texto,tipo,classe,fonte,data_referencia,url,tema,categoria
1,Vacinas contra covid enfraquecem o sistema imunologico e causam uma sindrome chamada VAIDS.,fake,Fake,AFP Checamos,2021-12-23,https://checamos.afp.com/doc.afp.com.9V76V7,Vacinas e desinformacao,Imunidade
2,"Quanto mais doses de vacina contra covid uma pessoa recebe, maior seria o risco de imunodeficiencia adquirida.",fake,Fake,AFP Checamos,2021-12-23,https://checamos.afp.com/doc.afp.com.9V76V7,Vacinas e desinformacao,Imunidade
3,Vacinas de RNA contra covid estao contaminadas com DNA capaz de provocar cancer.,fake,Fake,AFP Checamos,2024-08-20,https://checamos.afp.com/doc.afp.com.36EG2FQ,Vacinas e desinformacao,DNA e cancer
4,Fragmentos de DNA em vacinas de mRNA alteram permanentemente as celulas humanas.,fake,Fake,AFP Checamos,2024-08-20,https://checamos.afp.com/doc.afp.com.36EG2FQ,Vacinas e desinformacao,DNA e genes
5,A Pfizer registrou uma patente para rastrear pessoas vacinadas por satelite.,fake,Fake,AFP Checamos,2023-10-10,https://checamos.afp.com/doc.afp.com.33XV8FU,Vacinas e desinformacao,Rastreamento
6,Vacinas contra covid possuem marca de geolocalizacao ativada apos a aplicacao.,fake,Fake,AFP Checamos,2023-10-10,https://checamos.afp.com/doc.afp.com.33XV8FU,Vacinas e desinformacao,Rastreamento
7,O braco de pessoas vacinadas fica magnetizado porque os imunizantes contem microchips.,fake,Fake,AFP Checamos,2021-05-20,https://checamos.afp.com/vacinas-contra-covid-19-nao-geram-atracao-magnetica,Vacinas e desinformacao,Magnetismo
8,Vacinas contra covid deixam metais pesados no corpo e fazem imas grudarem na pele.,fake,Fake,AFP Checamos,2021-05-20,https://checamos.afp.com/vacinas-contra-covid-19-nao-geram-atracao-magnetica,Vacinas e desinformacao,Magnetismo
9,A vacinacao no Vietna teria provocado aumento de autismo em criancas.,fake,Fake,AFP Checamos,2023-09-29,https://checamos.afp.com/doc.afp.com.33X44KT,Vacinas e desinformacao,Autismo
10,Vacinas financiadas por Bill Gates causaram autismo em massa no Vietna.,fake,Fake,AFP Checamos,2023-09-29,https://checamos.afp.com/doc.afp.com.33X44KT,Vacinas e desinformacao,Autismo
